question,answer,category
What is the check-in time?,Check-in time is 3:00 PM. Early check-in may be available upon request and subject to availability.,Check-in & Check-out
What is the check-out time?,Check-out time is 12:00 PM noon. Late check-out can be arranged for an additional fee subject to availability.,Check-in & Check-out
Can I do early check-in?,Early check-in is available from 10:00 AM for an additional charge. Please contact the front desk to confirm availability.,Check-in & Check-out
Can I request late check-out?,Late check-out until 2:00 PM is available for a small fee. Extensions beyond 2:00 PM are charged at half the daily rate.,Check-in & Check-out
Do you offer airport transfers?,Yes we provide complimentary airport shuttle service every hour from 6 AM to 11 PM. Private transfers can also be arranged.,Transportation
Is parking available at the hotel?,Yes we offer free self-parking for all guests. Valet parking is also available for a small daily fee.,Transportation
Do you have electric vehicle charging stations?,We have 4 EV charging stations in our main parking area available on first come first served basis at no extra charge.,Transportation
How far is the hotel from the airport?,The hotel is 12 kilometers from the international airport. The drive takes approximately 20 to 30 minutes depending on traffic.,Transportation
What dining options are available?,We have three restaurants: Oasis (international cuisine) open 6 AM to 11 PM, The Grill (steakhouse) open 6 PM to 11 PM, and The Cafe (light bites) open 24 hours.,Dining & Food
Do you have room service?,Yes room service is available 24 hours a day. The full menu is available from 7 AM to 11 PM and a limited menu operates overnight.,Dining & Food
Do you offer vegetarian or vegan meals?,Absolutely. All our restaurants offer a dedicated vegetarian and vegan menu. Please inform us of any dietary restrictions during booking.,Dining & Food
Is breakfast included in the room rate?,Breakfast is included in Deluxe and Suite packages. Standard rooms offer breakfast for an additional charge of PKR 1500 per person.,Dining & Food
Do you have a swimming pool?,Yes we have a heated outdoor pool open from 7 AM to 10 PM and an indoor pool open year round from 6 AM to 11 PM.,Facilities & Amenities
Is there a gym or fitness center?,Our 24-hour fitness center is fully equipped with cardio machines weights and free weights. Certified trainers are available from 6 AM to 9 PM.,Facilities & Amenities
Do you have a spa?,Our luxury spa is open from 9 AM to 9 PM offering massages facials body treatments and a steam room. Appointments are recommended.,Facilities & Amenities
Is there a business center?,Yes our business center is open 24 hours with computers printers and high speed internet. Conference rooms are also available for booking.,Facilities & Amenities
Do you have free WiFi?,Complimentary high-speed WiFi is available throughout the hotel. Premium bandwidth packages are available for large file transfers or video conferencing.,Facilities & Amenities
Are pets allowed in the hotel?,We welcome pets up to 20 kg in our designated pet-friendly rooms. A refundable pet deposit of PKR 5000 is required.,Policies
What is your cancellation policy?,Free cancellation is available up to 48 hours before check-in. Cancellations within 48 hours incur a one-night charge.,Policies
Do you allow smoking in rooms?,The hotel is entirely non-smoking. Designated smoking areas are available outside. A PKR 10000 cleaning fee applies if smoking occurs in rooms.,Policies
Are children welcome?,We warmly welcome families. Children under 12 stay free when using existing bedding. Cribs and extra beds are available upon request.,Policies
Do you have accessible rooms for guests with disabilities?,Yes we have fully accessible rooms with roll-in showers grab bars and widened doorways. Please inform us during booking to ensure proper accommodation.,Accessibility
Is the hotel wheelchair accessible?,The entire hotel including all restaurants and facilities is wheelchair accessible with ramps elevators and accessible restrooms throughout.,Accessibility
What types of rooms do you offer?,We offer Standard Rooms Deluxe Rooms Junior Suites Executive Suites and Presidential Suites. Each category comes in single and double occupancy options.,Room Types
What is included in the suite?,Suites include a separate living area king bed premium toiletries a minibar access to the Executive Lounge and complimentary breakfast for two guests.,Room Types
Do rooms have a minibar?,Deluxe rooms and suites come with a stocked minibar. Standard rooms can request a minibar setup at front desk for an additional daily fee.,Room Types
Can I request a room with a view?,Sea view and garden view rooms are available at a premium. You can request your preferred view during booking but it is subject to availability.,Room Types
How can I make a reservation?,You can book directly on our website by calling our reservation line or through any major travel booking platform. Direct bookings get the best rate guaranteed.,Reservations
Can I modify my reservation?,Yes reservations can be modified up to 24 hours before check-in at no charge via phone email or the online portal.,Reservations
Do you offer group booking discounts?,Yes we offer special rates for groups of 10 or more rooms. Please contact our sales team for a customized group package.,Reservations
Is a deposit required to book?,A credit card is required to guarantee the booking. No charge is made until check-in unless the booking is non-refundable.,Reservations
What payment methods do you accept?,We accept all major credit and debit cards including Visa MasterCard American Express as well as bank transfers and cash in PKR USD and EUR.,Payment
Do you accept cryptocurrency payments?,Currently we do not accept cryptocurrency payments. We accept traditional payment methods including major international credit cards.,Payment
Can I pay in a foreign currency?,Yes we accept USD EUR and GBP at the hotel. Exchange rates are set daily and displayed at the front desk.,Payment
Do you have a loyalty program?,Yes our loyalty program rewards frequent guests with points redeemable for free nights room upgrades dining credits and spa treatments.,Loyalty & Rewards
How do I join the loyalty program?,Membership is free and open to all guests. You can sign up at check-in on our website or through our mobile app.,Loyalty & Rewards
What events or activities do you offer?,We organize weekly cultural evenings cooking classes yoga sessions and city tours. Check the concierge desk or hotel app for the current schedule.,Activities & Events
Can you help with sightseeing arrangements?,Our concierge team is happy to arrange guided city tours day trips car rentals and tickets to local attractions.,Activities & Events
Do you have childcare services?,Yes we offer supervised childcare and a kids club from 8 AM to 8 PM. Activities are tailored for children aged 3 to 12 years.,Family Services
Is there a laundry service?,Full laundry and dry cleaning service is available. Same day service is offered if items are submitted before 9 AM. Express service is also available.,Services
Do you have a gift shop?,Yes our lobby gift shop carries local handicrafts souvenirs chocolates flowers and essential travel items and is open from 8 AM to 10 PM.,Services